PROJECT_NAME,PRODUCT_NAME,SOURCE_SYSTEM,COLUMN_ORD,COLUMN_NAME,COLUMN_TYPE,IS_PK,IS_COB_DATE,IS_MASTER_KEY,HAS_CDT,DESCRIPTION
KTL_DEMO,INDIVIDUAL,COREBANK,1,mdm_ldt,TIMESTAMP(6),,,,,
KTL_DEMO,INDIVIDUAL,COREBANK,2,cob_date,DATE,,1,,,
KTL_DEMO,INDIVIDUAL,COREBANK,3,BRN_CODE,VARCHAR2(255),,,,,Mã chi nhánh khởi tạo
KTL_DEMO,INDIVIDUAL,COREBANK,4,KDI1,VARCHAR2(255),1,,,,Mã khách hàng cá nhân tại source nguồn
KTL_DEMO,INDIVIDUAL,COREBANK,5,KDI2,VARCHAR2(255),,,1,1,Họ và tên khách hàng cá nhân
KTL_DEMO,INDIVIDUAL,COREBANK,6,KDI3,VARCHAR2(255),,,1,1,Danh xưng khách hàng cá nhân
KTL_DEMO,INDIVIDUAL,COREBANK,7,KDI4,VARCHAR2(255),,,1,1,Biệt danh của khách hàng (tên gọi khác)
KTL_DEMO,INDIVIDUAL,COREBANK,8,KDI5,VARCHAR2(255),,,1,1,Giới tính
KTL_DEMO,INDIVIDUAL,COREBANK,9,KDI6,VARCHAR2(255),,,1,1,Dân tộc
KTL_DEMO,INDIVIDUAL,COREBANK,10,KDI7,DATE,,,1,1,Ngày sinh
KTL_DEMO,INDIVIDUAL,COREBANK,11,KDI8,VARCHAR2(255),,,1,1,Thông tin cư trú/ không cư trú
KTL_DEMO,INDIVIDUAL,COREBANK,12,KDI9,VARCHAR2(255),,,1,1,Trình độ học vấn
KTL_DEMO,INDIVIDUAL,COREBANK,13,KDI10,VARCHAR2(255),,,1,1,Địa chỉ cơ quan
KTL_DEMO,INDIVIDUAL,COREBANK,14,KDI10_01,VARCHAR2(255),,,1,1,Địa chỉ cơ quan_Quốc gia
KTL_DEMO,INDIVIDUAL,COREBANK,15,KDI10_02,VARCHAR2(255),,,1,1,Địa chỉ cơ quan_Tỉnh/thành phố trực thuộc trương ương
KTL_DEMO,INDIVIDUAL,COREBANK,16,KDI10_03,VARCHAR2(255),,,1,1,Địa chỉ cơ quan_Quận/Huyện
