component,code,rule_template,condition,description
CLEAN,CL1,cleantp_remove_pattern,"`[-/., ]`","Xóa ký tự trong chuỗi: khoảng trắng, dấu chấm, dấu phẩy, dấu `- / \`"
CLEAN,CL2,cleantp_replace_head_phone,,"Thay thế ký tự trong chuỗi: xử lý `+84`, chuyển đổi đầu số của các nhà mạng Việt Nam"
CLEAN,CL3,cleantp_replace_category,,"Chuẩn hóa danh mục: chuẩn hóa bộ mã danh mục thống nhất giữa các hệ thống CoreBanking, CoreCard, LOS, CRM, ...."
CLEAN,CL4,cleantp_remove_character_hypen,,"Xóa ký tự sau chuỗi `-%`"
CLEAN,CL5,cleantp_format_datetime,,"Format date: chuyển đổi kiểu dữ liệu kiểu chuỗi sang kiểu date"
CLEAN,CL6,cleantp_remove_space,,"Xóa tất cả các ký tự khoảng trắng"
VALIDATE,V1,validatetp_regex_not_like,,"Tất cả số trong SĐT DD phải là số từ 0 - 9, không chứa ký tự đặc biệt"
VALIDATE,V2,validatetp_regex_not_like,,"Kiểm tra cấu trúc địa chỉ email (4 thành phần, quy định từng thành phần)"
VALIDATE,V3,validatetp_regex_not_like,,"Cấu trúc MST (10 ký tự số hoặc 10 ký tự số + `-` + 3 ký tự số"
VALIDATE,V4,validatetp_regex_not_like,,"Kiểm tra SĐT DD: 10 ký tự số"
VALIDATE,V5,validatetp_regex_not_like,,"Cấu trúc CMND: 9 hoặc 12 ký tự số"
VALIDATE,V6,validatetp_regex_not_like,,"Cấu trúc PP: bao gồm 7 hoặc 8 hoặc 9 ký tự bao gồm ký tự đầu là chữ và các ký tự sau là số"
VALIDATE,V7,validatetp_regex_not_like,,"Kiểm tra cấu trúc CCCD: 12 ký tự số"
VALIDATE,V8,validatetp_format_CCCD_corr_YOB,,"Cấu trúc CCCD: 2 số cuối trong năm sinh phải phù hợp với chữ số thứ 5 và 6 trong CCCD"
VALIDATE,V9,check_head_cccd,,"Cấu trúc CCCD: 3 số đầu phải thuộc bảng mã số thẻ CCCD các tỉnh thành"
VALIDATE,V10,validatetp_check_number_4_cccd,,"Cấu trúc CCCD: số thứ 4 phải phù hợp với giới tính"
VALIDATE,R57,validatetp_check_invalid_email,,"Kiểm tra thông tin Email hợp lệ (có xử lý multi): thuộc tập email valid (zerobound)"
VALIDATE,R57_M,check_invalid_email_multi,,""
VALIDATE,V30,check_invalid_email_domain,,""
VALIDATE,V30_M,check_invalid_email_domain_multi,,""
VALIDATE,R43,check_invalid_category,,"Kiểm tra giá trị thuộc danh mục hệ thống (danh mục nghề nghiệp, giới tính, …)"
VALIDATE,V16,validatetp_regex_not_like,,"kiểm tra thông tin: Quốc tịch phù hợp với Loại giấy tờ tùy thân"
VALIDATE,V18,check_head_cccd,,"Kiểm tra SĐT DD: 3 chữ số đầu phải thuộc danh sách các nhà mạng Việt Nam"
VALIDATE,S123,check_length,,"Kiểm tra chuỗi có độ dài tối thiểu: 4 ký tự"
VALIDATE,S134,check_length,,"Kiểm tra chuỗi có độ dài tối thiểu: 3 ký tự"
VALIDATE,S132,check_length,,"Kiểm tra chuỗi có độ dài tối thiểu: 2 ký tự"
VALIDATE,S224,check_format_sdt,,"Kiểm tra chuỗi có giá trị mặc định 0123456789, 0000000000, 090000000000, 010000000000, 0111222333, 1111111111, 900000000000"
VALIDATE,S261,check_range_datetime,,"Kiểm tra giá trị mặc đinh của các trường kiểu date: 1900-01-01"
VALIDATE,S267,check_active_datetime_legal_id,,"Kiểm tra hiệu lực giấy tờ tùy thân của khách hàng: kiểm tra khoảng pháp lý giấy tờ của khách hàng"
VALIDATE,R51,check_legal_id,,"Kiểm tra Quốc tịch có phù hợp với loại giấy tờ tùy thân"
VALIDATE,S31,check_range_datetime,,"Kiểm tra các trường kiểu ngày vi phạm giá trị lớn hơn ngày hiện tại"
VALIDATE,S234,check_range_datetime,,"Kiểm tra tuổi của khách hàng có thuộc dải 0-120"
VALIDATE,S35,check_legal_id_range_datetime,,"Kiểm tra hiệu lực giấy tờ tùy thân của khách hàng: kiểm tra khoảng hợp lệ giữa ngày sinh và ngày cấp giấy tờ tùy thân"
VALIDATE,G1,check_null,,"Kiểm tra giá trị NULL(is null or `NULL` or `null`) và space"
VALIDATE,G3,check_value_cannot_0,,"Check giá trị mặc định 0"
VALIDATE,V88,check_cccd_multi_value,,""
VALIDATE,S124,validatetp_regex_not_like,,"Kiểm tra cấu trúc SĐT quốc tế"
VALIDATE,S125,validatetp_regex_not_like,,"Kiểm tra cấu trúc SĐT"
VALIDATE,S36,validatetp_regex_not_like,,"Kiểm tra cấu trúc email hợp lệ"
VALIDATE,S229,check_prefix_suffix_email,,"Kiểm tra email thuộc tập giá trị mặc định"
VALIDATE,G34,regex_not_like_G34,,"Kiểm tra Họ tên KHCN hoặc Tên tỉnh thành"
VALIDATE,G36,regex_not_like_G36,,"Kiểm tra chuỗi có ký tự chữ, ký tự số, ký tự đặc biệt (không được đứng đầu hoặc cuối chuỗi)"
