product,source_system,rule_type,rule_code,column_apply
INDIVIDUAL,SHB,CLEAN,CL1,QUOC_TICH
INDIVIDUAL,SHB,CLEAN,CL2,LOAI_GTTT
INDIVIDUAL,SHB,CLEAN,CL3,NOI_CAP_GTTT
INDIVIDUAL,SHB,CLEAN,CL4,PASS_E_DT
INDIVIDUAL,SHB,CLEAN,CL5,MOBILE|RES_PH_NO_1|RES_PH_NO_2
INDIVIDUAL,SHB,VALIDATE,V1,PASS_E_DT
INDIVIDUAL,SHB,VALIDATE,V2,MOBILE
INDIVIDUAL,SHB,VALIDATE,V3,MOBILE
INDIVIDUAL,SHB,VALIDATE,V4,PASS_NO
INDIVIDUAL,SHB,VALIDATE,V5,LOAI_GTTT
INDIVIDUAL,SHB,VALIDATE,V6,PASS_E_DT
INDIVIDUAL,SHB,VALIDATE,V7,PASS_I_DT
INDIVIDUAL,SHB,VALIDATE,V8,QUOC_TICH
INDIVIDUAL,SHB,MATCH,M1,LOAI_GTTT|PASS_NO
INDIVIDUAL,SHB,MATCH,M2,F_NAME|M_NAME|L_NAME|D_O_B|SEX_CD|CUSTOMER_TYPE
INDIVIDUAL,SHB,MERGE,M3,RES_ADD_1
INDIVIDUAL,SHB,MERGE,M4,
